Team,Elo,AvgGoals5,AvgConceded5,WinRate5,country
Barcelona,1946.63,2.2,1.4,0.8,ESP
Malaga,1451.0,0.8,0.8,0.6,ESP
Las Palmas,1583.07,0.4,1.4,0.0,ESP
Alaves,1641.15,0.6,0.2,0.7,ESP
Numancia,1470.05,1.0,1.8,0.4,ESP
Oviedo,1574.9,1.2,0.4,0.9,ESP
Osasuna,1676.5,1.6,1.0,0.7,ESP
Celta,1694.08,2.0,1.4,0.6,ESP
Mallorca,1652.13,0.8,1.4,0.2,ESP
Valladolid,1482.18,0.6,2.2,0.0,ESP
Villarreal,1769.85,2.4,0.8,1.0,ESP
Vallecano,1651.11,1.2,1.2,0.7,ESP
Bari,1457.39,1.0,1.4,0.4,ITA
Verona,1590.47,0.4,1.2,0.2,ITA
Napoli,1845.97,1.2,0.4,0.8,ITA
Juventus,1802.87,1.2,0.6,0.6,ITA
Atalanta,1858.67,2.2,0.8,0.9,ITA
Lazio,1784.6,1.6,1.0,0.7,ITA
Milan,1799.16,1.6,1.2,0.6,ITA
Vicenza,1346.02,1.2,1.0,0.5,ITA
Parma,1587.81,0.8,1.0,0.4,ITA
Fiorentina,1748.7,1.6,1.4,0.6,ITA
Perugia,1406.61,0.6,2.2,0.2,ITA
Lecce,1563.71,0.6,1.2,0.4,ITA
Reggina,1424.94,1.0,1.6,0.3,ITA
Inter,1958.82,1.0,0.8,0.5,ITA
Roma,1807.03,1.4,0.6,0.8,ITA
Bologna,1781.7,1.0,1.4,0.4,ITA
Udinese,1636.57,0.6,1.4,0.3,ITA
Brescia,1413.25,1.0,1.0,0.5,ITA
Babelsberg,1359.0,1.6,2.4,0.1,GER
Livingston,1188.7,1.6,2.8,0.4,SCO
Hearts,1398.3,1.6,0.6,0.7,SCO
Aberdeen,1345.83,0.8,2.4,0.3,SCO
Rangers,1590.22,2.4,1.2,0.7,SCO
Dundee United,1294.29,0.6,2.6,0.2,SCO
Dundee,1270.6,1.0,2.0,0.3,SCO
Dunfermline,1181.7,1.6,2.6,0.3,SCO
Motherwell,1309.38,1.6,1.2,0.7,SCO
Hibernian,1427.1,2.0,1.4,0.5,SCO
Kilmarnock,1333.38,1.6,2.0,0.6,SCO
Celtic,1670.32,3.8,0.8,0.9,SCO
St Johnstone,1233.78,1.0,1.8,0.2,SCO
Amiens,1377.51,1.8,1.4,0.6,FRA
Grenoble,1408.31,1.8,1.6,0.6,FRA
Istres,1342.19,0.8,2.8,0.1,FRA
Karlsruhe,1471.95,1.6,1.0,0.8,GER
Schweinfurt,1395.01,1.0,3.6,0.1,GER
Union Berlin,1607.53,1.4,2.0,0.4,GER
Varzim,1400.21,2.6,1.2,0.8,POR
Rotherham,1322.3,1.4,1.4,0.5,ENG
Millwall,1518.7,1.4,1.0,0.8,ENG
Diyarbakirspor,1351.58,0.6,2.0,0.2,TUR
Goztep,1389.79,2.0,2.2,0.5,TUR
